PID,Số tiền trung bình bạn trả cho một lần mua hàng:,Giới tính của bạn,Độ tuổi của bạn,Tình trạng hôn nhân của bạn,Số thành viên là con cái trong gia đình của bạn,Ngành nghề của bạn:,Mức thu nhập tháng của bạn nằm trong khoảng,Products
PID004,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu, Thực phẩm đông lạnh
PID004,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID004,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID004,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID005,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu,"Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID005,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID005,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID005,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID005,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Đồ gia dụng (chén, bát, đũa, nồi, màng bọc thực phẩm…)"
PID005,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID005,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thời trang may mặc (quần áo, giày dép)"
PID006,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu,"Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID006,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID006,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID006,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu, Bánh kẹo
PID006,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID006,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID007,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu,Rau củ
PID007,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu, Trái cây
PID007,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID007,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu, Bánh kẹo
PID007,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Đồ gia dụng (chén, bát, đũa, nồi, màng bọc thực phẩm…)"
PID007,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID008,100.000 – 300.000 VND,Nam,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu,Thực phẩm đông lạnh
PID008,100.000 – 300.000 VND,Nam,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID008,100.000 – 300.000 VND,Nam,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID008,100.000 – 300.000 VND,Nam,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thời trang may mặc (quần áo, giày dép)"
PID009,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu,Rau củ
PID009,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu, Trái cây
PID009,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID009,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID009,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID009,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu, Bánh kẹo
PID010,50.000 – 100.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu,"Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID010,50.000 – 100.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu, Bánh kẹo
PID010,50.000 – 100.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Đồ gia dụng (chén, bát, đũa, nồi, màng bọc thực phẩm…)"
PID010,50.000 – 100.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID010,50.000 – 100.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Thời trang may mặc (quần áo, giày dép)"
PID011,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu,Rau củ
PID011,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu, Trái cây
PID011,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID011,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID011,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID012,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu,"Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID012,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID012,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Đồ gia dụng (chén, bát, đũa, nồi, màng bọc thực phẩm…)"
PID012,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thời trang may mặc (quần áo, giày dép)"
PID013,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu,Rau củ
PID013,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu, Trái cây
PID013,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu, Thực phẩm đông lạnh
PID013,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID013,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID013,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID013,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID014,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu,Trái cây
PID014,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID014,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID014,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID014,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID014,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Đồ gia dụng (chén, bát, đũa, nồi, màng bọc thực phẩm…)"
PID014,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID015,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu,Trái cây
PID015,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID015,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID015,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID015,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu, Bánh kẹo
PID015,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID016,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu,"Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID016,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID016,300.000 – 500.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Thời trang may mặc (quần áo, giày dép)"
PID017,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Nhân viên hành chính,Dưới 5 triệu,Rau củ
PID017,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Nhân viên hành chính,Dưới 5 triệu, Trái cây
PID017,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Nhân viên hành chính,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID017,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Nhân viên hành chính,Dưới 5 triệu, Bánh kẹo
PID017,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Nhân viên hành chính,Dưới 5 triệu," Đồ gia dụng (chén, bát, đũa, nồi, màng bọc thực phẩm…)"
PID017,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Nhân viên hành chính,Dưới 5 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID018,100.000 – 300.000 VND,Nam,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu,Trái cây
PID018,100.000 – 300.000 VND,Nam,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu," Thịt tươi (gà, bò, lợn…) và trứng"
PID018,100.000 – 300.000 VND,Nam,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu, Thuỷ hải sản tươi
PID018,100.000 – 300.000 VND,Nam,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu, Thực phẩm đông lạnh
PID018,100.000 – 300.000 VND,Nam,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu," Đồ gia dụng (chén, bát, đũa, nồi, màng bọc thực phẩm…)"
PID018,100.000 – 300.000 VND,Nam,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID018,100.000 – 300.000 VND,Nam,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu," Thời trang may mặc (quần áo, giày dép)"
PID019,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu,Rau củ
PID019,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu, Trái cây
PID019,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID019,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID019,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID019,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID019,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu, Bánh kẹo
PID019,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID020,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu,Thực phẩm đông lạnh
PID020,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID020,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID021,300.000 – 500.000 VND,Nam,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu,Trái cây
PID021,300.000 – 500.000 VND,Nam,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID021,300.000 – 500.000 VND,Nam,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID021,300.000 – 500.000 VND,Nam,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID022,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,5-10 triệu,"Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID022,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,5-10 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID022,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,5-10 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID022,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,5-10 triệu," Thời trang may mặc (quần áo, giày dép)"
PID023,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,5-10 triệu,"Nước giải khát (nước khoáng, nước ngọt,…)"
PID024,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu,"Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID024,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID025,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Nhân viên hành chính,5-10 triệu,"Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID025,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,2 con,Nhân viên hành chính,5-10 triệu," Thời trang may mặc (quần áo, giày dép)"
PID026,100.000 – 300.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu,Rau củ
PID026,100.000 – 300.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu, Trái cây
PID026,100.000 – 300.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID026,100.000 – 300.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Nước giải khát (nước khoáng, nước ngọt,…)"
PID026,100.000 – 300.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu, Bánh kẹo
PID026,100.000 – 300.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID026,100.000 – 300.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Đồ gia dụng (chén, bát, đũa, nồi, màng bọc thực phẩm…)"
PID026,100.000 – 300.000 VND,Nữ,23-29 tuổi,Độc thân,Không có,Nhân viên hành chính,5-10 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID027,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,"Nhà phát triển, lập trình viên",10-20 triệu,Rau củ
PID027,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,"Nhà phát triển, lập trình viên",10-20 triệu, Trái cây
PID027,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,"Nhà phát triển, lập trình viên",10-20 triệu," Thịt tươi (gà, bò, lợn…) và trứng"
PID027,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,"Nhà phát triển, lập trình viên",10-20 triệu, Thực phẩm đông lạnh
PID027,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,"Nhà phát triển, lập trình viên",10-20 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID027,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,"Nhà phát triển, lập trình viên",10-20 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID027,300.000 – 500.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,"Nhà phát triển, lập trình viên",10-20 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID028,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu,Rau củ
PID028,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu, Trái cây
PID028,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu," Thịt tươi (gà, bò, lợn…) và trứng"
PID028,50.000 – 100.000 VND,Nữ,18-22 tuổi,Độc thân,Từ 3 con trở lên,Sinh viên,Dưới 5 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID029,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu,Rau củ
PID029,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thịt tươi (gà, bò, lợn…) và trứng"
PID029,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
PID029,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thức ăn nhanh (xúc xích, giò chả, lạp xưởng, bánh bao, nem, đậu hũ,…)"
PID029,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Thực phẩm khô (Gia vị (mắm, muối, đường,…)"
PID029,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Sữa (tươi, chua,…) và các chế phẩm từ sữa (bơ, phô mai,…)"
PID029,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Sinh viên,Dưới 5 triệu," Hoá mỹ phẩm (nước rửa bát, xà phòng, nước lau nhà,…)"
PID030,100.000 – 300.000 VND,Nữ,18-22 tuổi,Độc thân,Không có,Nhân viên hành chính,10-20 triệu,"Thực phẩm ăn liền (bánh mì, cháo, đồ ăn nhanh, mì miến,…)"
